file,rate,total_requests,concurrent_connections,request_rate,reply_rate_avg,reply_rate_stdev,reply_samples,total_size,200_statuses,net_io
test_freq_12_per_day_tokyo.txt,279,8952,1020,149.5,161.0,87.5,11,64854.0,8681,9440.4 KB/s
test_freq_12_per_day_tokyo.txt,159,12304,66,194.8,194.5,11.8,12,66694.0,12304,12717.8 KB/s
test_freq_12_per_day_tokyo.txt,219,11055,1020,159.0,169.2,82.4,13,66725.0,11055,10383.3 KB/s
test_freq_12_per_day_tokyo.txt,189,12304,674,160.5,164.0,92.3,15,66694.0,12304,10474.0 KB/s
test_freq_12_per_day_tokyo.txt,174,12304,92,213.2,212.6,14.8,11,66694.0,12304,13916.2 KB/s
test_freq_12_per_day_tokyo.txt,181,12304,261,183.3,189.3,69.2,13,66694.0,12304,11963.5 KB/s
test_freq_12_per_day_tokyo.txt,185,12304,475,157.6,164.0,93.1,15,66694.0,12304,10286.5 KB/s
test_freq_12_per_day_tokyo.txt,183,12304,474,156.6,164.0,90.4,15,66694.0,12304,10223.8 KB/s
test_freq_4_per_day_tokyo.txt,520,5658,1020,122.6,124.7,115.8,9,60605.0,5258,7224.1 KB/s
test_freq_4_per_day_tokyo.txt,279,8774,1020,146.5,158.6,86.1,11,65563.0,8774,9403.4 KB/s
test_freq_4_per_day_tokyo.txt,159,12088,72,191.8,191.4,12.3,12,65500.0,12088,12297.2 KB/s
test_freq_4_per_day_tokyo.txt,219,11061,1020,158.6,169.0,84.3,13,65517.0,11061,10172.2 KB/s
test_freq_4_per_day_tokyo.txt,189,12088,550,157.1,161.2,93.6,15,65500.0,12088,10070.6 KB/s
test_freq_4_per_day_tokyo.txt,174,12088,123,209.5,209.6,10.1,11,65500.0,12088,13429.8 KB/s
test_freq_4_per_day_tokyo.txt,181,12088,203,154.0,161.2,94.1,15,65500.0,12088,9872.0 KB/s
test_freq_4_per_day_tokyo.txt,177,12088,127,212.0,211.9,11.2,11,65500.0,12088,13590.6 KB/s
test_freq_4_per_day_tokyo.txt,179,12088,154,214.4,215.2,8.6,11,65500.0,12088,13746.5 KB/s
test_freq_12_per_day_synckit.txt,520,12304,654,406.7,409.8,298.1,6,18193.0,12304,7294.2 KB/s
test_freq_12_per_day_synckit.txt,279,12304,80,341.1,341.2,11.2,7,18193.0,12304,6117.4 KB/s
test_freq_12_per_day_synckit.txt,399,12304,151,484.1,486.9,10.3,5,18193.0,12304,8681.5 KB/s
test_freq_12_per_day_synckit.txt,459,12304,442,495.8,546.6,7.5,4,18193.0,12304,8891.1 KB/s
test_freq_12_per_day_synckit.txt,489,12304,556,390.0,410.0,282.3,6,18193.0,12304,6993.4 KB/s
test_freq_12_per_day_synckit.txt,474,12304,486,400.1,409.8,250.3,6,18193.0,12304,7174.9 KB/s
test_freq_12_per_day_synckit.txt,466,12304,555,441.4,491.7,153.7,5,18193.0,12304,7915.6 KB/s
test_freq_12_per_day_synckit.txt,462,12304,509,421.3,491.0,138.0,5,18193.0,12304,7556.3 KB/s
test_freq_12_per_day_synckit.txt,460,12304,321,516.4,553.9,6.8,4,18193.0,12304,9261.3 KB/s
test_freq_6_per_day_traditional.txt,520,3600,1020,74.0,73.1,60.9,9,146149.0,3335,10573.7 KB/s
test_freq_6_per_day_traditional.txt,279,5784,1020,88.8,89.0,52.9,13,158697.0,5784,13776.2 KB/s
test_freq_6_per_day_traditional.txt,159,9568,1020,110.1,112.3,46.7,17,158221.0,9541,17031.6 KB/s
test_freq_6_per_day_traditional.txt,99,10000,25,98.9,99.0,0.9,20,158688.0,10000,15344.7 KB/s
test_freq_6_per_day_traditional.txt,129,10000,48,128.9,128.9,2.9,15,158688.0,10000,19991.3 KB/s
test_freq_6_per_day_traditional.txt,144,10000,534,107.4,111.1,50.7,18,158653.0,9998,16656.0 KB/s
test_freq_6_per_day_traditional.txt,136,10000,49,135.9,135.7,2.3,14,158688.0,10000,21075.2 KB/s
test_freq_6_per_day_traditional.txt,140,10000,375,107.7,111.1,50.0,18,158688.0,10000,16705.4 KB/s
test_freq_6_per_day_traditional.txt,138,10000,134,136.2,136.2,2.0,14,158688.0,10000,21134.0 KB/s
test_freq_0.5_per_day_traditional.txt,520,3611,1020,63.7,65.5,58.2,11,144190.0,3532,8986.2 KB/s
test_freq_0.5_per_day_traditional.txt,279,6224,1020,96.6,103.7,59.3,12,147984.0,6224,13981.7 KB/s
test_freq_0.5_per_day_traditional.txt,159,10000,608,115.2,117.5,59.9,17,147831.0,9999,16656.3 KB/s
test_freq_0.5_per_day_traditional.txt,99,10000,15,99.0,99.0,0.2,20,147847.0,10000,14306.5 KB/s
test_freq_0.5_per_day_traditional.txt,129,10000,67,128.7,128.9,2.9,15,147847.0,10000,18609.0 KB/s
test_freq_0.5_per_day_traditional.txt,144,10000,62,143.5,143.7,3.6,13,147847.0,10000,20746.6 KB/s
test_freq_0.5_per_day_traditional.txt,151,10000,145,149.2,149.1,4.4,13,147847.0,10000,21559.7 KB/s
test_freq_0.5_per_day_traditional.txt,155,10000,267,131.5,133.3,47.1,15,147847.0,10000,19012.2 KB/s
test_freq_0.5_per_day_traditional.txt,153,10000,182,140.3,142.9,27.9,14,147847.0,10000,20276.0 KB/s
test_freq_18_per_day_traditional.txt,520,3542,1020,74.0,76.8,61.4,9,149125.0,3281,10783.5 KB/s
