test,page,strategy,visitnumber,ttr,datafetch,databulkload,templateparse,latency,bandwidth,date
Feb 2,Blog,Sync Kit,1,214,96,15,14,1,1,2010-02-01 21:18:05.57722-05
Feb 2,Blog,Sync Kit,1,260,140,16,14,1,1,2010-02-01 21:18:06.692991-05
Feb 2,Blog,Sync Kit,2,250,130,16,15,1,1,2010-02-01 21:18:07.801906-05
Feb 2,Blog,Sync Kit,1,263,142,17,15,1,1,2010-02-01 21:18:08.927098-05
Feb 2,Blog,Sync Kit,2,249,129,16,14,1,1,2010-02-01 21:18:10.034024-05
Feb 2,Blog,Sync Kit,1,216,98,14,14,1,1,2010-02-01 21:18:11.113757-05
Feb 2,Blog,Sync Kit,1,261,141,17,14,1,1,2010-02-01 21:18:12.25979-05
Feb 2,Blog,Sync Kit,2,305,185,15,15,1,1,2010-02-01 21:18:13.424089-05
Feb 2,Blog,Sync Kit,1,217,97,15,13,1,1,2010-02-01 21:18:14.503502-05
Feb 2,Blog,Sync Kit,1,244,124,17,14,1,1,2010-02-01 21:18:15.609312-05
Feb 2,Blog,Sync Kit,1,250,129,16,14,1,1,2010-02-01 21:18:16.726247-05
Feb 2,Blog,Sync Kit,3,190,76,14,14,1,1,2010-02-01 21:06:08.3088-05
Feb 2,Blog,Sync Kit,6,251,125,16,14,1,1,2010-02-01 21:06:11.591851-05
Feb 2,Blog,Sync Kit,1,260,144,16,15,1,1,2010-02-01 21:06:12.729747-05
Feb 2,Blog,Sync Kit,4,236,123,16,14,1,1,2010-02-01 21:06:16.01794-05
Feb 2,Blog,Sync Kit,5,215,100,15,13,1,1,2010-02-01 21:06:17.089102-05
Feb 2,Blog,Sync Kit,4,226,115,15,14,1,1,2010-02-01 21:06:22.559618-05
Feb 2,Blog,Sync Kit,6,239,127,15,14,1,1,2010-02-01 21:06:38.025391-05
Feb 2,Blog,Sync Kit,3,204,85,15,13,1,1,2010-02-01 21:06:59.953458-05
Feb 2,Blog,Sync Kit,4,228,113,15,15,1,1,2010-02-01 21:07:01.039412-05
Feb 2,Blog,Sync Kit,1,236,116,15,14,1,1,2010-02-01 21:18:17.824804-05
Feb 2,Blog,Sync Kit,1,261,141,17,15,1,1,2010-02-01 21:18:18.945018-05
Feb 2,Blog,Sync Kit,2,248,127,16,15,1,1,2010-02-01 21:18:20.056865-05
Feb 2,Blog,Sync Kit,1,264,143,16,15,1,1,2010-02-01 21:18:21.188115-05
Feb 2,Blog,Sync Kit,2,248,127,16,14,1,1,2010-02-01 21:18:22.327322-05
Feb 2,Blog,Sync Kit,1,277,157,17,15,1,1,2010-02-01 21:18:23.462586-05
Feb 2,Blog,Sync Kit,2,264,141,16,15,1,1,2010-02-01 21:18:24.589127-05
Feb 2,Blog,Sync Kit,1,215,99,15,13,1,1,2010-02-01 21:18:25.665185-05
Feb 2,Blog,Sync Kit,1,212,99,15,14,1,1,2010-02-01 21:18:26.740072-05
Feb 2,Blog,Sync Kit,1,217,99,15,14,1,1,2010-02-01 21:18:27.811559-05
Feb 2,Blog,Sync Kit,1,219,101,15,14,1,1,2010-02-01 21:18:28.891448-05
Feb 2,Blog,Sync Kit,1,228,112,15,14,1,1,2010-02-01 21:18:29.980088-05
Feb 2,Blog,Sync Kit,1,265,145,16,15,1,1,2010-02-01 21:18:31.117196-05
Feb 2,Blog,Sync Kit,2,259,140,15,14,1,1,2010-02-01 21:18:32.268517-05
Feb 2,Blog,Sync Kit,1,232,114,15,14,1,1,2010-02-01 21:18:33.415732-05
Feb 2,Blog,Sync Kit,1,221,104,15,13,1,1,2010-02-01 21:18:34.50107-05
Feb 2,Blog,Sync Kit,1,261,139,17,15,1,1,2010-02-01 21:18:35.625776-05
Feb 2,Blog,Sync Kit,2,249,130,16,14,1,1,2010-02-01 21:18:36.737355-05
Feb 2,Blog,Sync Kit,1,249,128,16,15,1,1,2010-02-01 21:18:37.846843-05
Feb 2,Blog,Sync Kit,1,217,99,15,14,1,1,2010-02-01 21:18:38.929501-05
Feb 2,Blog,Sync Kit,1,246,127,16,14,1,1,2010-02-01 21:18:40.041041-05
Feb 2,Blog,Sync Kit,1,264,144,16,14,1,1,2010-02-01 21:18:41.166863-05
Feb 2,Blog,Sync Kit,2,249,127,15,15,1,1,2010-02-01 21:18:42.281568-05
Feb 2,Blog,Sync Kit,1,263,142,17,15,1,1,2010-02-01 21:18:43.409334-05
Feb 2,Blog,Sync Kit,2,251,129,16,14,1,1,2010-02-01 21:18:44.524252-05
Feb 2,Blog,Sync Kit,1,262,141,16,15,1,1,2010-02-01 21:18:45.652873-05
Feb 2,Blog,Sync Kit,1,260,142,16,14,1,1,2010-02-01 21:16:01.485076-05
Feb 2,Blog,Sync Kit,2,231,113,16,14,1,1,2010-02-01 21:16:02.610742-05
Feb 2,Blog,Sync Kit,2,232,114,15,14,1,1,2010-02-01 21:16:09.267988-05
Feb 2,Blog,Sync Kit,1,189,74,15,12,1,1,2010-02-01 21:16:12.538241-05
Feb 2,Blog,Sync Kit,1,201,86,15,13,1,1,2010-02-01 21:16:21.269228-05
Feb 2,Blog,Sync Kit,1,232,115,15,14,1,1,2010-02-01 21:16:25.696091-05
Feb 2,Blog,Sync Kit,1,260,143,16,15,1,1,2010-02-01 21:06:19.31208-05
Feb 2,Blog,Sync Kit,2,261,143,16,14,1,1,2010-02-01 21:06:20.434562-05
Feb 2,Blog,Sync Kit,5,216,103,15,13,1,1,2010-02-01 21:06:23.629521-05
Feb 2,Blog,Sync Kit,6,256,140,15,15,1,1,2010-02-01 21:06:24.747265-05
Feb 2,Blog,Sync Kit,2,208,96,14,14,1,1,2010-02-01 21:06:26.951346-05
Feb 2,Blog,Sync Kit,5,213,101,15,13,1,1,2010-02-01 21:06:36.925547-05
Feb 2,Blog,Sync Kit,1,211,97,14,14,1,1,2010-02-01 21:06:45.699011-05
Feb 2,Blog,Sync Kit,2,238,125,16,14,1,1,2010-02-01 21:06:46.791357-05
Feb 2,Blog,Sync Kit,1,234,115,15,14,1,1,2010-02-01 21:16:31.253107-05
Feb 2,Blog,Sync Kit,1,258,140,16,15,1,1,2010-02-01 21:16:32.417488-05
Feb 2,Blog,Sync Kit,1,211,105,15,13,1,1,2010-02-01 21:16:33.823603-05
Feb 2,Blog,Sync Kit,2,266,137,16,14,1,1,2010-02-01 21:16:42.977709-05
Feb 2,Blog,Sync Kit,2,247,127,16,14,1,1,2010-02-01 21:16:46.337521-05
Feb 2,Blog,Sync Kit,1,215,100,15,13,1,1,2010-02-01 21:16:47.421774-05
Feb 2,Blog,Sync Kit,1,259,140,16,15,1,1,2010-02-01 21:16:48.53852-05
Feb 2,Blog,Sync Kit,1,262,142,17,15,1,1,2010-02-01 21:16:49.658385-05
Feb 2,Blog,Sync Kit,2,258,139,16,15,1,1,2010-02-01 21:16:50.781117-05
Feb 2,Blog,Sync Kit,1,259,140,16,14,1,1,2010-02-01 21:17:16.414404-05
Feb 2,Blog,Sync Kit,2,264,142,16,14,1,1,2010-02-01 21:17:17.541171-05
Feb 2,Blog,Sync Kit,1,260,142,16,15,1,1,2010-02-01 21:17:18.663685-05
Feb 2,Blog,Sync Kit,1,259,141,16,15,1,1,2010-02-01 21:17:29.813595-05
Feb 2,Blog,Sync Kit,1,248,128,16,14,1,1,2010-02-01 21:17:57.807492-05
Feb 2,Blog,Sync Kit,2,246,128,16,14,1,1,2010-02-01 21:18:01.109223-05
Feb 2,Blog,Sync Kit,2,229,112,15,14,1,1,2010-02-01 21:15:38.241831-05
Feb 2,Blog,Sync Kit,1,257,140,17,14,1,1,2010-02-01 21:15:39.367631-05
Feb 2,Blog,Sync Kit,2,241,118,16,14,1,1,2010-02-01 21:15:44.887579-05
Feb 2,Blog,Sync Kit,1,258,139,16,15,1,1,2010-02-01 21:15:57.043154-05
Feb 2,Blog,Sync Kit,1,228,111,16,13,1,1,2010-02-01 21:16:05.954551-05
Feb 2,Blog,Sync Kit,1,261,143,16,15,1,1,2010-02-01 21:16:10.388504-05
Feb 2,Blog,Sync Kit,1,261,144,16,15,1,1,2010-02-01 21:16:16.903744-05
Feb 2,Blog,Sync Kit,2,229,116,15,15,1,1,2010-02-01 21:16:17.994873-05
Feb 2,Blog,Sync Kit,1,257,140,17,14,1,1,2010-02-01 21:16:19.112858-05
Feb 2,Blog,Sync Kit,2,233,114,16,14,1,1,2010-02-01 21:16:20.209228-05
Feb 2,Blog,Sync Kit,1,260,143,16,14,1,1,2010-02-01 21:16:23.479574-05
Feb 2,Blog,Sync Kit,2,231,113,15,14,1,1,2010-02-01 21:16:24.603101-05
Feb 2,Blog,Sync Kit,1,272,153,15,15,1,1,2010-02-01 21:16:26.832741-05
